Metal,Substrate,theta,Temp,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NdValence,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled
Ga0.995Ti0.005,Si1O2,67,1323,122.19,1.80865,9.96,1.13E-07,64.65,598.8666667,2.666666667
Ga0.989Ti0.011,Si1O2,62,1323,122.418,1.80703,9.912,2.48E-07,65.43,598.8666667,2.666666667
Ga0.986Ti0.014,Si1O2,62,1323,122.532,1.80622,9.888,3.15E-07,65.82,598.8666667,2.666666667
Ga0.978Ti0.022,Si1O2,59,1323,122.836,1.80406,9.824,4.96E-07,66.86,598.8666667,2.666666667
Ga0.965Ti0.035,Si1O2,57,1323,123.33,1.80055,9.72,7.89E-07,68.55,598.8666667,2.666666667
Ga0.952Ti0.048,Si1O2,55,1323,123.824,1.79704,9.616,1.08E-06,70.24,598.8666667,2.666666667
Ga0.939Ti0.061,Si1O2,56,1323,124.318,1.79353,9.512,1.37E-06,71.93,598.8666667,2.666666667
Ga0.919Ti0.081,Si1O2,55,1323,125.078,1.78813,9.352,1.83E-06,74.53,598.8666667,2.666666667
Ga0.914Ti0.086,Si1O2,54,1323,125.268,1.78678,9.312,1.94E-06,75.18,598.8666667,2.666666667
Ga0.897Ti0.103,Si1O2,55,1323,125.914,1.78219,9.176,2.32E-06,77.39,598.8666667,2.666666667
Ga0.895Ti0.105,Si1O2,53,1323,125.99,1.78165,9.16,2.37E-06,77.65,598.8666667,2.666666667
Cu0.824Ga0.175Ti0.001,Al2O3,131,1323,130.278,1.88389,9.992,2.25E-08,196.794,406.268,3.2
Cu0.815Ga0.173Ti0.012,Al2O3,98,1323,130.606,1.88011,9.904,2.70E-07,196.775,406.268,3.2
Cu0.807Ga0.171Ti0.022,Al2O3,88,1323,130.906,1.87669,9.824,4.96E-07,196.787,406.268,3.2
Cu0.799Ga0.17Ti0.031,Al2O3,79,1323,131.168,1.87354,9.752,6.99E-07,196.669,406.268,3.2
Cu0.79Ga0.167Ti0.043,Al2O3,66,1323,131.534,1.86949,9.656,9.69E-07,196.78,406.268,3.2
Cu0.783Ga0.166Ti0.051,Al2O3,57,1323,131.768,1.8667,9.592,1.15E-06,196.693,406.268,3.2
Cu0.775Ga0.164Ti0.061,Al2O3,50,1323,132.068,1.86328,9.512,1.37E-06,196.705,406.268,3.2
Cu0.759Ga0.161Ti0.08,Al2O3,46,1323,132.63,1.85671,9.36,1.80E-06,196.599,406.268,3.2
Cu0.752Ga0.159Ti0.089,Al2O3,40,1323,132.902,1.85365,9.288,2.01E-06,196.642,406.268,3.2
Cu0.815Ga0.173Ti0.012,Si1O2,109,1323,130.606,1.88011,9.904,2.70E-07,196.775,598.8666667,2.666666667
Cu0.807Ga0.171Ti0.022,Si1O2,56,1323,130.906,1.87669,9.824,4.96E-07,196.787,598.8666667,2.666666667
Cu0.799Ga0.169Ti0.032,Si1O2,36,1323,131.206,1.87327,9.744,7.21E-07,196.799,598.8666667,2.666666667
Cu0.791Ga0.168Ti0.041,Si1O2,27,1323,131.468,1.87012,9.672,9.24E-07,196.681,598.8666667,2.666666667
Cu0.782Ga0.166Ti0.052,Si1O2,22,1323,131.796,1.86634,9.584,1.17E-06,196.662,598.8666667,2.666666667
Cu0.766Ga0.163Ti0.071,Si1O2,19,1323,132.358,1.85977,9.432,1.60E-06,196.556,598.8666667,2.666666667
Cu0.75Ga0.159Ti0.091,Si1O2,17,1323,132.958,1.85293,9.272,2.05E-06,196.58,598.8666667,2.666666667
Sn,Al2O3,140.7282439,873,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,140.2029824,973,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,139.0064545,1023,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,115.7168929,1073,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,114.7233474,1123,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,114.3654574,1173,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,115.6705987,1223,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,115.925217,1273,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,119.3153795,1323,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,122.4918763,1373,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,122.5452927,1423,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,122.595148,1473,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,121.2348097,1573,139,1.96,10,0,141,406.268,3.2
Cu,Al2O3,135,1423,132,1.9,10,0,225,406.268,3.2
Cu0.9Al0.1,Al2O3,113.3928571,1423,130.9,1.871,9,0,225,406.268,3.2
Cu0.8Al0.2,Al2O3,100,1423,129.8,1.842,8,0,225,406.268,3.2
Cu0.7Al0.3,Al2O3,90.17857143,1423,128.7,1.813,7,0,225,406.268,3.2
Cu0.6Al0.4,Al2O3,84.82142857,1423,127.6,1.784,6,0,225,406.268,3.2
Cu0.9Ti0.1,Al2O3,69.64285714,1423,134.8,1.864,9.2,2.25E-06,221.9,406.268,3.2
Cu0.8Ti0.2,Al2O3,29.46428571,1423,137.6,1.828,8.4,4.51E-06,218.8,406.268,3.2
Cu0.7Ti0.3,Al2O3,7.142857143,1423,140.4,1.792,7.6,6.76E-06,215.7,406.268,3.2
Cu0.6Ti0.4,Al2O3,5.357142857,1423,143.2,1.756,6.8,9.01E-06,212.6,406.268,3.2
Ga,Ca1F2,120,1173,122,1.81,10,0,64,407.3333333,0.666666667
In,Ca1F2,130,1173,142,1.78,10,0,139,407.3333333,0.666666667
Ge,Ca1F2,110,1423,120,2.01,10,0,225,407.3333333,0.666666667
Cu,Ca1F2,110,1423,132,1.9,10,0,225,407.3333333,0.666666667
Al,Ca1F2,90,1423,121,1.61,0,0,225,407.3333333,0.666666667
In,Ca1F2,120,1423,142,1.78,10,0,139,407.3333333,0.666666667
Ga,Ca1F2,88,1423,122,1.81,10,0,64,407.3333333,0.666666667
Ge,Ca1F2,128,1523,120,2.01,10,0,225,407.3333333,0.666666667
Al,Ca1F2,126,1523,121,1.61,0,0,225,407.3333333,0.666666667
Cu,Ca1F2,127,1523,132,1.9,10,0,225,407.3333333,0.666666667
In,Ca1F2,130,1123,142,1.78,10,0,139,407.3333333,0.666666667
Sn,Ca1F2,125,1173,139,1.96,10,0,141,407.3333333,0.666666667
Au,Ca1F2,114,1373,136,2.54,10,0,225,407.3333333,0.666666667
Ge,Ca1F2,115,1273,120,2.01,10,0,225,407.3333333,0.666666667
In0.98Ti0.02,Ca1F2,30,1123,142.36,1.7752,9.84,4.51E-07,140.1,407.3333333,0.666666667
Sn0.98Ti0.02,Ca1F2,51,1173,139.42,1.9516,9.84,4.51E-07,142.06,407.3333333,0.666666667
Ga0.98Ti0.02,Ca1F2,58,1173,122.76,1.8046,9.84,4.51E-07,66.6,407.3333333,0.666666667
Au0.98Ti0.02,Ca1F2,98,1373,136.48,2.52,9.84,4.51E-07,224.38,407.3333333,0.666666667
Ge0.98Ti0.02,Ca1F2,98,1273,120.8,2.0006,9.84,4.51E-07,224.38,407.3333333,0.666666667
Au0.95Ti0.05,Ca1F2,97,1373,137.2,2.49,9.6,1.13E-06,223.45,407.3333333,0.666666667
Ge0.96Ti0.04,Ca1F2,99,1373,121.6,1.9912,9.68,9.01E-07,223.76,407.3333333,0.666666667
Ga0.99Ti0.01,Ca1F2,80,1173,122.38,1.8073,9.92,2.25E-07,65.3,407.3333333,0.666666667
Ga0.97Ti0.03,Ca1F2,61,1173,123.14,1.8019,9.76,6.76E-07,67.9,407.3333333,0.666666667
Sn0.955Ti0.045,Ca1F2,53,1173,139.945,1.9411,9.64,1.01E-06,143.385,407.3333333,0.666666667
In0.995Ti0.005,Ca1F2,40,1123,142.09,1.7788,9.96,1.13E-07,139.275,407.3333333,0.666666667
In0.985Ti0.015,Ca1F2,37,1123,142.27,1.7764,9.88,3.38E-07,139.825,407.3333333,0.666666667
In0.97Ti0.03,Ca1F2,29,1123,142.54,1.7728,9.76,6.76E-07,140.65,407.3333333,0.666666667
Cu,Ca1F2,112,1423,132,1.9,10,0,225,407.3333333,0.666666667
Cu0.95Ti0.05,Ca1F2,109,1423,133.4,1.882,9.6,1.13E-06,223.45,407.3333333,0.666666667
Cu0.85Ti0.15,Ca1F2,110,1423,136.2,1.846,8.8,3.38E-06,220.35,407.3333333,0.666666667
Cu0.75Ti0.25,Ca1F2,110,1423,139,1.81,8,5.63E-06,217.25,407.3333333,0.666666667
Cu0.6Ti0.4,Ca1F2,113,1423,143.2,1.756,6.8,9.01E-06,212.6,407.3333333,0.666666667
Ga,Sr1F2,144.9315068,373,122,1.81,10,0,64,385.6666667,0.666666667
Ga,Sr1F2,140,473,122,1.81,10,0,64,385.6666667,0.666666667
Ga,Sr1F2,136.1643836,573,122,1.81,10,0,64,385.6666667,0.666666667
Ga,Sr1F2,133.1506849,673,122,1.81,10,0,64,385.6666667,0.666666667
Ga,Sr1F2,129.0410959,773,122,1.81,10,0,64,385.6666667,0.666666667
Ga,Sr1F2,126.3013699,873,122,1.81,10,0,64,385.6666667,0.666666667
Ga,Sr1F2,123.2876712,973,122,1.81,10,0,64,385.6666667,0.666666667
Ga,Sr1F2,119.1780822,1073,122,1.81,10,0,64,385.6666667,0.666666667
Ga,Sr1F2,116.9863014,1173,122,1.81,10,0,64,385.6666667,0.666666667
In,Sr1F2,157.8082192,473,142,1.78,10,0,139,385.6666667,0.666666667
In,Sr1F2,154.7945205,573,142,1.78,10,0,139,385.6666667,0.666666667
In,Sr1F2,149.8630137,673,142,1.78,10,0,139,385.6666667,0.666666667
In,Sr1F2,143.8356164,773,142,1.78,10,0,139,385.6666667,0.666666667
In,Sr1F2,140,873,142,1.78,10,0,139,385.6666667,0.666666667
In,Sr1F2,135.890411,973,142,1.78,10,0,139,385.6666667,0.666666667
In,Sr1F2,133.1506849,1073,142,1.78,10,0,139,385.6666667,0.666666667
Sn,Sr1F2,156.1643836,523,139,1.96,10,0,141,385.6666667,0.666666667
Sn,Sr1F2,152.6027397,573,139,1.96,10,0,141,385.6666667,0.666666667
Sn,Sr1F2,145.7534247,673,139,1.96,10,0,141,385.6666667,0.666666667
Sn,Sr1F2,142.1917808,773,139,1.96,10,0,141,385.6666667,0.666666667
Sn,Sr1F2,135.0684932,873,139,1.96,10,0,141,385.6666667,0.666666667
Sn,Sr1F2,133.1506849,973,139,1.96,10,0,141,385.6666667,0.666666667
Sn,Sr1F2,126.0273973,1073,139,1.96,10,0,141,385.6666667,0.666666667
Sn,Sr1F2,121.0958904,1173,139,1.96,10,0,141,385.6666667,0.666666667
Sn,Sr1F2,118.0821918,1273,139,1.96,10,0,141,385.6666667,0.666666667
Sn,Sr1F2,115.890411,1373,139,1.96,10,0,141,385.6666667,0.666666667
Sn,Sr1F2,112.0547945,1423,139,1.96,10,0,141,385.6666667,0.666666667
Pb,Sr1F2,133.9726027,623,146,2.33,10,0,225,385.6666667,0.666666667
Pb,Sr1F2,131.2328767,673,146,2.33,10,0,225,385.6666667,0.666666667
Pb,Sr1F2,127.9452055,773,146,2.33,10,0,225,385.6666667,0.666666667
Pb,Sr1F2,124.9315068,873,146,2.33,10,0,225,385.6666667,0.666666667
Pb,Sr1F2,122.4657534,973,146,2.33,10,0,225,385.6666667,0.666666667
Pb,Sr1F2,116.9863014,1073,146,2.33,10,0,225,385.6666667,0.666666667
Al,Sr1F2,121.9178082,973,121,1.61,0,0,225,385.6666667,0.666666667
Al,Sr1F2,115.890411,1073,121,1.61,0,0,225,385.6666667,0.666666667
Al,Sr1F2,109.8630137,1173,121,1.61,0,0,225,385.6666667,0.666666667
Al,Sr1F2,100.2739726,1273,121,1.61,0,0,225,385.6666667,0.666666667
Ag,Sr1F2,130.1369863,1273,145,1.93,10,0,225,385.6666667,0.666666667
Ag,Sr1F2,124.3835616,1373,145,1.93,10,0,225,385.6666667,0.666666667
Ag,Sr1F2,120.2739726,1423,145,1.93,10,0,225,385.6666667,0.666666667
Au,Sr1F2,132.8767123,1373,136,2.54,10,0,225,385.6666667,0.666666667
Au,Sr1F2,126.3013699,1423,136,2.54,10,0,225,385.6666667,0.666666667
Cu,Sr1F2,140,1373,132,1.9,10,0,225,385.6666667,0.666666667
Cu,Sr1F2,133.1506849,1423,132,1.9,10,0,225,385.6666667,0.666666667
Cu,Sr1F2,126.0273973,1473,132,1.9,10,0,225,385.6666667,0.666666667
In,Ca1F2,137.9715022,973,142,1.78,10,0,139,407.3333333,0.666666667
In,Sr1F2,136.1543719,973,142,1.78,10,0,139,385.6666667,0.666666667
In,Ba1F2,132.2372364,973,142,1.78,10,0,139,369,0.666666667
In,Mg1F2,126.3610074,973,142,1.78,10,0,139,343.3333333,0.666666667
Cu,Ca1F2,135.0344392,1423,132,1.9,10,0,225,407.3333333,0.666666667
Cu,Sr1F2,133.0753457,1423,132,1.9,10,0,225,385.6666667,0.666666667
Cu,Ba1F2,130.2781429,1423,132,1.9,10,0,225,369,0.666666667
Cu,Mg1F2,121.6057627,1423,132,1.9,10,0,225,343.3333333,0.666666667
Au,Ca1F2,128.1802408,1423,136,2.54,10,0,225,407.3333333,0.666666667
Au,Sr1F2,126.2221989,1423,136,2.54,10,0,225,385.6666667,0.666666667
Au,Ba1F2,120.4868815,1423,136,2.54,10,0,225,369,0.666666667
Au,Mg1F2,115.7305852,1423,136,2.54,10,0,225,343.3333333,0.666666667
Ag,Ca1F2,125.9435302,1373,145,1.93,10,0,225,407.3333333,0.666666667
Ag,Sr1F2,124.1242968,1373,145,1.93,10,0,225,385.6666667,0.666666667
Ag,Ba1F2,118.390031,1373,145,1.93,10,0,225,369,0.666666667
Ag,Mg1F2,114.4728955,1373,145,1.93,10,0,225,343.3333333,0.666666667
Ga,Ca1F2,123.0054156,1073,122,1.81,10,0,64,407.3333333,0.666666667
Ga,Sr1F2,122.4459751,1073,122,1.81,10,0,64,385.6666667,0.666666667
Ga,Ba1F2,112.376045,1073,122,1.81,10,0,64,369,0.666666667
Ga,Mg1F2,108.5998212,1073,122,1.81,10,0,64,343.3333333,0.666666667
Pb,Ca1F2,122.0263947,973,146,2.33,10,0,225,407.3333333,0.666666667
Pb,Sr1F2,119.2291919,973,146,2.33,10,0,225,385.6666667,0.666666667
Pb,Ba1F2,116.2910773,973,146,2.33,10,0,225,369,0.666666667
Pb,Mg1F2,111.6756927,973,146,2.33,10,0,225,343.3333333,0.666666667
Sn,Ca1F2,117.9704506,1373,139,1.96,10,0,141,407.3333333,0.666666667
Sn,Sr1F2,116.1522688,1373,139,1.96,10,0,141,385.6666667,0.666666667
Sn,Ba1F2,110.5578632,1373,139,1.96,10,0,141,369,0.666666667
Sn,Mg1F2,107.3400284,1373,139,1.96,10,0,141,343.3333333,0.666666667
Al,Sr1F2,100.348073,1273,121,1.61,0,0,225,385.6666667,0.666666667
Al,Ba1F2,98.38897944,1273,121,1.61,0,0,225,369,0.666666667
Al,Mg1F2,95.59177664,1273,121,1.61,0,0,225,343.3333333,0.666666667
Cu0.638Ti0.362,Mg1F2,118,1423,142.136,1.76968,7.104,8.16E-06,213.778,343.3333333,0.666666667
Cu0.244Ti0.756,Ba1F2,123,1473,153.168,1.62784,3.952,1.70E-05,201.564,369,0.666666667
Ni0.259Ti0.741,Ba1F2,111,1473,150.676,1.63583,3.554,0.154223925,202.029,369,0.666666667
Cu0.427Ti0.573,Sr1F2,119,1473,148.044,1.69372,5.416,1.29E-05,207.237,385.6666667,0.666666667
Cu0.589Zr0.411,Sr1F2,110,1473,149.673,1.66573,6.712,0,212.259,385.6666667,0.666666667
Ni0.259Ti0.741,Sr1F2,114,1473,150.676,1.63583,3.554,0.154223925,202.029,385.6666667,0.666666667
Ni0.4Zr0.6,Sr1F2,119,1523,154.6,1.562,4.4,0.23815788,206.4,385.6666667,0.666666667
Cu0.427Ti0.573,Ca1F2,116,1473,148.044,1.69372,5.416,1.29E-05,207.237,407.3333333,0.666666667
Cu0.589Zr0.411,Ca1F2,108,1473,149.673,1.66573,6.712,0,212.259,407.3333333,0.666666667
Ni0.259Ti0.741,Ca1F2,111,1473,150.676,1.63583,3.554,0.154223925,202.029,407.3333333,0.666666667
Ni0.4Zr0.6,Ca1F2,124,1523,154.6,1.562,4.4,0.23815788,206.4,407.3333333,0.666666667
Al,Ca1F2,131.2624894,973,121,1.61,0,0,225,407.3333333,0.666666667
Al,Ca1F2,118.350244,1073,121,1.61,0,0,225,407.3333333,0.666666667
Al,Ca1F2,111.2655875,1173,121,1.61,0,0,225,407.3333333,0.666666667
Al,Ca1F2,102.1934784,1273,121,1.61,0,0,225,407.3333333,0.666666667
Al,Ca1F2,101.2005267,1373,121,1.61,0,0,225,407.3333333,0.666666667
Al,Ca1F2,123.483851,1423,121,1.61,0,0,225,407.3333333,0.666666667
Al,Ca1F2,133.6170707,1523,121,1.61,0,0,225,407.3333333,0.666666667
Al,Sr1F2,121.9928743,973,121,1.61,0,0,225,385.6666667,0.666666667
Al,Sr1F2,116.0994501,1073,121,1.61,0,0,225,385.6666667,0.666666667
Al,Sr1F2,108.6166834,1173,121,1.61,0,0,225,385.6666667,0.666666667
Al,Sr1F2,100.2052513,1273,121,1.61,0,0,225,385.6666667,0.666666667
Al,Sr1F2,98.68174425,1373,121,1.61,0,0,225,385.6666667,0.666666667
Al,Sr1F2,119.5104949,1423,121,1.61,0,0,225,385.6666667,0.666666667
Al,Sr1F2,130.4391604,1523,121,1.61,0,0,225,385.6666667,0.666666667
Sn0.952Ti0.048,Ca1F2,65,973,140.008,1.93984,9.616,1.08E-06,143.544,407.3333333,0.666666667
Sn0.952Ti0.048,Ca1F2,32,1173,140.008,1.93984,9.616,1.08E-06,143.544,407.3333333,0.666666667
Sn0.952Ti0.048,Ca1F2,28,1273,140.008,1.93984,9.616,1.08E-06,143.544,407.3333333,0.666666667
Sn0.952Ti0.048,Ca1F2,88,1373,140.008,1.93984,9.616,1.08E-06,143.544,407.3333333,0.666666667
Sn0.952Ti0.048,Sr1F2,65,973,140.008,1.93984,9.616,1.08E-06,143.544,385.6666667,0.666666667
Sn0.952Ti0.048,Sr1F2,32,1173,140.008,1.93984,9.616,1.08E-06,143.544,385.6666667,0.666666667
Sn0.952Ti0.048,Sr1F2,28,1273,140.008,1.93984,9.616,1.08E-06,143.544,385.6666667,0.666666667
Sn0.952Ti0.048,Sr1F2,88,1373,140.008,1.93984,9.616,1.08E-06,143.544,385.6666667,0.666666667
Cu0.66Ti0.34,Ca1F2,87.19613044,1173,141.52,1.7776,7.28,7.66E-06,214.46,407.3333333,0.666666667
Cu0.66Ti0.34,Ca1F2,82.43407708,1223,141.52,1.7776,7.28,7.66E-06,214.46,407.3333333,0.666666667
Cu0.66Ti0.34,Ca1F2,90.70993915,1273,141.52,1.7776,7.28,7.66E-06,214.46,407.3333333,0.666666667
Cu0.66Ti0.34,Ca1F2,108.7158683,1323,141.52,1.7776,7.28,7.66E-06,214.46,407.3333333,0.666666667
Cu0.66Ti0.34,Ca1F2,116.5735684,1373,141.52,1.7776,7.28,7.66E-06,214.46,407.3333333,0.666666667
Cu0.66Ti0.34,Sr1F2,82.69620846,1173,141.52,1.7776,7.28,7.66E-06,214.46,385.6666667,0.666666667
Cu0.66Ti0.34,Sr1F2,79.72538618,1223,141.52,1.7776,7.28,7.66E-06,214.46,385.6666667,0.666666667
Cu0.66Ti0.34,Sr1F2,88.00124824,1273,141.52,1.7776,7.28,7.66E-06,214.46,385.6666667,0.666666667
Cu0.66Ti0.34,Sr1F2,105.5702918,1323,141.52,1.7776,7.28,7.66E-06,214.46,385.6666667,0.666666667
Cu0.66Ti0.34,Sr1F2,113.4279919,1373,141.52,1.7776,7.28,7.66E-06,214.46,385.6666667,0.666666667
Sn0.98Ti0.02,Mg1F2,56,973,139.42,1.9516,9.84,4.51E-07,142.06,343.3333333,0.666666667
Sn0.98Ti0.02,Mg1F2,107,1173,139.42,1.9516,9.84,4.51E-07,142.06,343.3333333,0.666666667
Sn0.98Ti0.02,Ba1F2,64,973,139.42,1.9516,9.84,4.51E-07,142.06,369,0.666666667
Sn0.98Ti0.02,Ba1F2,31,1173,139.42,1.9516,9.84,4.51E-07,142.06,369,0.666666667
Sn0.98Ti0.02,Ba1F2,67,1273,139.42,1.9516,9.84,4.51E-07,142.06,369,0.666666667
Sn0.98Ti0.02,Ca1F2,97,973,139.42,1.9516,9.84,4.51E-07,142.06,407.3333333,0.666666667
Sn0.98Ti0.02,Ca1F2,67,1173,139.42,1.9516,9.84,4.51E-07,142.06,407.3333333,0.666666667
Sn0.98Ti0.02,Ca1F2,34,1273,139.42,1.9516,9.84,4.51E-07,142.06,407.3333333,0.666666667
Sn0.98Ti0.02,Ca1F2,92,1373,139.42,1.9516,9.84,4.51E-07,142.06,407.3333333,0.666666667
Cu0.637Ti0.363,Mg1F2,118,1423,142.164,1.76932,7.096,8.18E-06,213.747,343.3333333,0.666666667
Ni0.752Hf0.248,Mg1F2,120,1423,136.648,1.75872,6.512,0.447736814,217.312,343.3333333,0.666666667
Cu0.737Hf0.263,Ba1F2,110,1473,143.309,1.7422,7.896,0,216.847,369,0.666666667
Cu0.43Ti0.57,Ca1F2,119,1423,147.96,1.6948,5.44,1.28E-05,207.33,407.3333333,0.666666667
Cu0.455Ti0.482Zr0.063,Ca1F2,132,1473,148.205,1.69057,5.64,1.09E-05,208.105,407.3333333,0.666666667
Cu,Al2O3,132.4475524,1423,132,1.9,10,0,225,406.268,3.2
Cu0.992Ti0.008,Al2O3,91.04895105,1423,132.224,1.89712,9.936,1.80E-07,224.752,406.268,3.2
Cu0.977Ti0.023,Al2O3,51.32867133,1423,132.644,1.89172,9.816,5.18E-07,224.287,406.268,3.2
Cu0.969Ti0.031,Al2O3,40.6993007,1423,132.868,1.88884,9.752,6.99E-07,224.039,406.268,3.2
Cu0.96Ti0.04,Al2O3,32.30769231,1423,133.12,1.8856,9.68,9.01E-07,223.76,406.268,3.2
Cu0.948Ti0.052,Al2O3,27.27272727,1423,133.456,1.88128,9.584,1.17E-06,223.388,406.268,3.2
Cu0.937Ti0.063,Al2O3,22.7972028,1423,133.764,1.87732,9.496,1.42E-06,223.047,406.268,3.2
Cu0.927Ti0.073,Al2O3,17.2027972,1423,134.044,1.87372,9.416,1.64E-06,222.737,406.268,3.2
Cu0.915Ti0.085,Al2O3,13.84615385,1423,134.38,1.8694,9.32,1.92E-06,222.365,406.268,3.2
Cu0.908Ti0.092,Al2O3,11.60839161,1423,134.576,1.86688,9.264,2.07E-06,222.148,406.268,3.2
Sn,Mg1F2,140.9755774,577,139,1.96,10,0,141,343.3333333,0.666666667
Sn,Mg1F2,136.378699,674,139,1.96,10,0,141,343.3333333,0.666666667
Sn,Mg1F2,134.3089108,777,139,1.96,10,0,141,343.3333333,0.666666667
Sn,Mg1F2,127.9683202,880,139,1.96,10,0,141,343.3333333,0.666666667
Sn,Mg1F2,124.9222918,974,139,1.96,10,0,141,343.3333333,0.666666667
Sn,Mg1F2,119.1655897,1080,139,1.96,10,0,141,343.3333333,0.666666667
Sn,Mg1F2,115.3454618,1178,139,1.96,10,0,141,343.3333333,0.666666667
Sn,Mg1F2,114.4381483,1278,139,1.96,10,0,141,343.3333333,0.666666667
Sn,Mg1F2,109.4555456,1378,139,1.96,10,0,141,343.3333333,0.666666667
In,Mg1F2,148.2871061,473,142,1.78,10,0,139,343.3333333,0.666666667
In,Mg1F2,144.0825794,573,142,1.78,10,0,139,343.3333333,0.666666667
In,Mg1F2,143.3694536,673,142,1.78,10,0,139,343.3333333,0.666666667
In,Mg1F2,139.357789,773,142,1.78,10,0,139,343.3333333,0.666666667
In,Mg1F2,130.1057096,873,142,1.78,10,0,139,343.3333333,0.666666667
In,Mg1F2,127.2538688,973,142,1.78,10,0,139,343.3333333,0.666666667
In,Mg1F2,122.4641283,1073,142,1.78,10,0,139,343.3333333,0.666666667
Ga,Mg1F2,131.7162077,373,122,1.81,10,0,64,343.3333333,0.666666667
Ga,Mg1F2,127.8987308,473,122,1.81,10,0,64,343.3333333,0.666666667
Ga,Mg1F2,126.7959042,573,122,1.81,10,0,64,343.3333333,0.666666667
Ga,Mg1F2,122.9824038,673,122,1.81,10,0,64,343.3333333,0.666666667
Ga,Mg1F2,120.9073135,773,122,1.81,10,0,64,343.3333333,0.666666667
Ga,Mg1F2,116.7041124,873,122,1.81,10,0,64,343.3333333,0.666666667
Ga,Mg1F2,116.1851741,973,122,1.81,10,0,64,343.3333333,0.666666667
Ga,Mg1F2,112.1708586,1073,122,1.81,10,0,64,343.3333333,0.666666667
Ga,Mg1F2,110.2992345,1173,122,1.81,10,0,64,343.3333333,0.666666667
Al,Mg1F2,111.5286476,973,121,1.61,0,0,225,343.3333333,0.666666667
Al,Mg1F2,104.2131425,1073,121,1.61,0,0,225,343.3333333,0.666666667
Al,Mg1F2,103.1142923,1173,121,1.61,0,0,225,343.3333333,0.666666667
Al,Mg1F2,95.4104119,1273,121,1.61,0,0,225,343.3333333,0.666666667
Cu,Mg1F2,133.146436,1373,132,1.9,10,0,225,343.3333333,0.666666667
Cu,Mg1F2,123.0831428,1433,132,1.9,10,0,225,343.3333333,0.666666667
Au,Mg1F2,122.4687676,1383,136,2.54,10,0,225,343.3333333,0.666666667
Ag,Mg1F2,120.6548033,1283,145,1.93,10,0,225,343.3333333,0.666666667
Sn,Ba1F2,144.0597015,573,139,1.96,10,0,141,369,0.666666667
Sn,Ba1F2,139.761194,673,139,1.96,10,0,141,369,0.666666667
Sn,Ba1F2,134.5671642,773,139,1.96,10,0,141,369,0.666666667
Sn,Ba1F2,132.0597015,873,139,1.96,10,0,141,369,0.666666667
Sn,Ba1F2,125.0746269,973,139,1.96,10,0,141,369,0.666666667
Sn,Ba1F2,124,1073,139,1.96,10,0,141,369,0.666666667
Sn,Ba1F2,117.7313433,1173,139,1.96,10,0,141,369,0.666666667
Sn,Ba1F2,115.4029851,1273,139,1.96,10,0,141,369,0.666666667
Sn,Ba1F2,109.8507463,1373,139,1.96,10,0,141,369,0.666666667
In,Ba1F2,150.3283582,473,142,1.78,10,0,139,369,0.666666667
In,Ba1F2,147.1044776,573,142,1.78,10,0,139,369,0.666666667
In,Ba1F2,144.7761194,673,142,1.78,10,0,139,369,0.666666667
In,Ba1F2,139.9402985,773,142,1.78,10,0,139,369,0.666666667
In,Ba1F2,138.1492537,873,142,1.78,10,0,139,369,0.666666667
In,Ba1F2,132.0597015,973,142,1.78,10,0,139,369,0.666666667
Ga,Ba1F2,139.9402985,373,122,1.81,10,0,64,369,0.666666667
Ga,Ba1F2,137.6119403,473,122,1.81,10,0,64,369,0.666666667
Ga,Ba1F2,134.7462687,573,122,1.81,10,0,64,369,0.666666667
Ga,Ba1F2,130.9850746,673,122,1.81,10,0,64,369,0.666666667
Ga,Ba1F2,126.1492537,773,122,1.81,10,0,64,369,0.666666667
Ga,Ba1F2,123.2835821,873,122,1.81,10,0,64,369,0.666666667
Ga,Ba1F2,120.4179104,973,122,1.81,10,0,64,369,0.666666667
Ga,Ba1F2,118.2686567,1073,122,1.81,10,0,64,369,0.666666667
Ga,Ba1F2,115.2238806,1173,122,1.81,10,0,64,369,0.666666667
Al,Ba1F2,117.0149254,973,121,1.61,0,0,225,369,0.666666667
Al,Ba1F2,112.1791045,1073,121,1.61,0,0,225,369,0.666666667
Al,Ba1F2,105.1940299,1173,121,1.61,0,0,225,369,0.666666667
Al,Ba1F2,98.02985075,1273,121,1.61,0,0,225,369,0.666666667
Cu,Ba1F2,135.641791,1373,132,1.9,10,0,225,369,0.666666667
Cu,Ba1F2,130.6268657,1423,132,1.9,10,0,225,369,0.666666667
